brand,name,seller,reviews_rating_number,reviews_amount,old_money,new_money
,"Notebook Positivo Vision R15 Lumina Bar, AMD Ryzen 5 8GB 256GB, Tela 15 polegadas Full HD Antirreflexo, Linux - Preto",Por Positivo ,5.0,(1),4.265,2.549
ASUS,"Notebook Asus vivobook 15 x1504za intel core i5 1235u 8gb ram 512gb ssd linux keepos tela 15,6 fhd blue nj983",Por Asus ,4.8,(180),3.399,2.769
ACER,"Notebook Acer Aspire 5 Intel Core I5 - 12450H 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" Full HD A515-57-55B8",,4.8,(6294),4.479,3.034
HP,"Notebook HP 256 G9 Intel® Core™ i5 da 12ª geração SSD 256GB 8GB Intel UHD 15,6"" Windows 11",Por INPOWER ,4.8,(519),4.221,3.123
LENOVO,Notebook Lenovo LOQ-e 15iax9e Intel Core i5-12450hx 16gb 512gb Ssd Rtx 3050 Windows 11 15.6 - 83me0007br Luna Grey,Por Mobcom ,,,9.510,4.799
,"Notebook Positivo Vision R15 Lumina Bar, AMD Ryzen 5 8GB 256GB, Tela 15 polegadas Full HD Antirreflexo, Linux - Preto",Por Positivo ,5.0,(1),4.265,2.549
ASUS,"Notebook Asus vivobook 15 x1504za intel core i5 1235u 8gb ram 512gb ssd linux keepos tela 15,6 fhd blue nj983",Por Asus ,4.8,(180),3.399,2.769
ASUS,Notebook Asus Vivobook 16 X1605va Intel Core I7 1355u 16gb Ram 512gb Ssd Windows 11 Home Tela 16 Ips Fhd Silver - Mb763w,,4.9,(11),4.634,463
DELL,Notebook Dell Latitude 5490 Core I5 8th 16gb Ram 256gb Ssdm,,4.1,(68),2.870,287
LENOVO,Notebook Ideapad 1i Intel Core i5 12gb 512gb Linux 82vys00900 Cloud Grey,Por Lenovo ,4.8,(4536),2.879,276
ACER,"Notebook Acer A515-57-55b8 Aspire 5 I5-12450h 8gb 256gb 15,6",,5.0,(4),3.999,3.034
LENOVO,Notebook Lenovo Ideapad 3i Celeron 4gb 128gb Ssd W11 15.6 Cor Prateado,Por 123 Comprou ,4.6,(2096),3.665,2.089
SAMSUNG,"Samsung Chromebook 4 Intel Celeron N4020 4GB 64GB Tela 11.6"" Prata XE310XBA-KT4BR",Por 123 Comprou ,4.5,(140),2.331,1.449
,"Notebook Positivo Vision i15 Intel Core i5 11ª gen 8GB RAM 512GB SSD, Lumina Bar Windows 11 Home, Tela 15” Full HD Antirreflexo – Cinza",,4.8,(53),3.699,3.123
ASUS,"Notebook ASUS Vivobook 15 M1502YA AMD Ryzen 7 7730U 8GB Ram 512GB SSD Linux KeepOS 15,6"" FHD Cool Silver - NJ494",Por Asus ,5.0,(2),3.154,315
SAMSUNG,"Notebook Samsung Galaxy Book Go Snapdragon® 7c Gen 2 (Kryo™ 468 Octa-core CPU, até 2.55 GHz), Windows 11 Home, 4GB, 128GB UFS, 14'' Full HD LED, 1.38kg",,4.7,(311),2.450,235
,"Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 15,6'' Cinza - Ub261",Por Loja Multi ,4.6,(380),1.699,1.597
HP,Laptop Hp 640 G2 Core I5 6300u 8gb En Ram 512 Gb Ssd M.2 cor preta,Por Saldao da informatica ,3.8,(48),2.038,195
ASUS,"Notebook ASUS Vivobook Go E1504FA AMD Ryzen 5 7520U 8GB Ram 256GB SSD Windows 11 Tela 15,6"" FHD Black - NJ825W",Por Asus ,4.9,(82),2.889,277
ASUS,Notebook Asus X515 Intel Celeron Dual Core 4 Gb 128 Gb Ssd,Por Mercado Livre ,,,1.869,186
LENOVO,"Notebook Lenovo Ideapad Intel Celeron - N4020, 4GB RAM, 128SSD, Windows 11 Home C/office, Tela Led 15,6"", Cor Cinza - 82VX0001BR",Por Siberiano ,4.7,(1724),2.299,1.927
LENOVO,"Notebook Lenovo Ideapad 1 Intel Core i3 1215U 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" 82VY000SBR",Por Lenovo ,4.8,(4536),3.499,2.599
ASUS,Notebook Asus Vivobook 16 X1605va Intel Core I7 1355u 8gb Ram 512gb Ssd Windows 11 Home Tela 16 Fhd Silver - Mb741w,Por Asus ,4.6,(9),4.415,3.929
,"MacBook Air 13-inch 13"" midnight 8GB de Ram - 256GB SSD - Apple Chip M3",,4.8,(56),8.554,822
ASUS,"Notebook Asus Vivobook Go 15 E1504fa Amd Ryzen 5 7520u 4gb Ram 256gb Ssd Linux Keepos Tela 15,6 Fhd Black - Nj1287",Por Asus ,4.5,(41),2.599,2.027
LENOVO,Notebook Lenovo Thinkbook 14 Intel Core i7 32gb 1tb W11pro,Por Lenovo ,,,6.929,665
ASUS,Notebook Asus Vivobook 16 X1605va Intel Core I7 1355u 8gb Ram 512gb Ssd Linux Keepos Tela 16 Ips Fhd Silver - Mb742,Por Asus ,4.9,(16),3.863,3.360
ACER,Notebook Acer Predator Gamer Phn16-71-72w6 I7-13650hx 16gb 512gb Ssd Rtx 4060 Windows 11 Home Tela 16 Wuxga,Por Acer Brasil ,4.9,(543),8.199,819
LENOVO,Notebook Lenovo Thinkbook 16 Intel Core I7 32gb 1tb W11pro,Por Lenovo ,,,7.999,799
LENOVO,Notebook Lenovo Ideapad B330-15ikb I3 7° 8gb Ddr4 240gb Ssd,Por GSOLD ELECTRO ,,,1.599,1.439
ACER,"Notebook Gamer Phn16-71-72w6 Ci7, 16gb 512gb Ssd Rtx 4060",Por Acer Brasil ,4.9,(131),10.999,8.599
ASUS,"Notebook Asus Vivobook 15 X1504za Intel Core I5 1235u 8gb Ram 512gb Ssd Windows 11 Tela 15,6 Fhd Silver - Nj986w",Por Asus ,4.9,(174),3.699,3.129
DELL,"Notebook Dell Latitude 5480 14"" preto 16GB de Ram - 256GB SSD - 16GB HDD - Intel Core i5",,4.0,(42),2.899,289
ACER,Notebook Gam Nitro V Anv15-51-54dl I5 8gb 512gb Ssd Rtx4050,Por Acer Brasil ,4.8,(307),7.299,5.699
SAMSUNG,"Notebook Samsung Book4 I5 1335u 8gb 256gb 15,6 W11p Np754xgj",Por 2Eletro ,,,3.800,3.499
LENOVO,"Notebook Lenovo Ideapad 1i Intel I5-1235u 8gb 512gb 15,6 W11",Por 2Eletro ,5.0,(7),3.999,3.199
ASUS,"Notebook Asus Vivobook Go Core I3 N305 4gb 256ssd 15,6 Fhd",Por Asus ,4.2,(27),2.499,2.049
ASUS,"Notebook ASUS TUF Gaming F15 FX507VV RTX4060 Intel Core i7 13620H 16Gb 512Gb SSD Windows 11 Home Tela 165Hz Nivel IPS 15,6"" FHD Mecha Gray - HQ333W",Por Mercado Livre ,4.9,(8),11.499,9.866
ASUS,Notebook Asus Vivobook Intel Core I5 1235u 16gb 512ssd W11,Por Asus ,,,4.199,3.779
LENOVO,Notebook Lenovo E14 Core I7 10ger 16gb 240ssd Windows 11,Por SLA Informatica ,,,3.199,319
HP,Notebook Hp I5 6ª Geração 16gb Ddr4 Ssd/ Com Garantia E N.f,,4.3,(14),1.695,1.339
LENOVO,"Notebook Ideapad 1i Intel Core i7 1255U, 12GB RAM, 512GB SSD, Linux, Tela 15,6"" HD 82VYS01000",Por Lenovo ,4.8,(4536),3.419,328
ACER,"Notebook Gamer Acer Nitro V15 I7-13620h 13ªGen 8gb 512gb Rtx3050 6gb Linux 15.6"" FHD Preto - Anv15-51-7837",Por Acer Brasil ,3.0,(4),7.999,5.199
,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 7 16gb 512gb, Tela 15 Polegadas Full Hd Antirreflexo, Linux - Preto",Por Positivo ,4.8,(25),3.899,3.099
ACER,Notebook Acer Aspire 3 Ci3 15.6  Uhd 256gb 8gb Debian 64bits,Por Mobcom ,5.0,(1),3.099,2.549
DELL,"Notebook Dell Latitude, Core I7, 16 GB, SSD de 512 GB, 1080p W11 Pro, cor preta",,,,7.611,761
LENOVO,Notebook Lenovo LOQ 15IRX9 Intel Core i5-13450HX RTX 3050 8GB 512GB SSD Windows 11 83KH0001BR Luna Grey,Por Lenovo ,5.0,(1),5.644,542
